sample	microcosmID	treatment	replicate	day	cil	wrm	strainID	count	count.correct	lograrecount	log10rab	sflogcount	rlogcount	PA
HN4-d9	HN_C	HN	C	9	0	1	HAMBI-1988	7	23	1.6094379124341003	-3.5387203169647035	3.1499889877929137	1.1567899455784156	1
HN4-d9	HN_C	HN	C	9	0	1	HAMBI-2159	10	12	0	-3.8049882063694724	2.537931077684833	1.2223932963302067	1
HN4-d9	HN_C	HN	C	9	0	1	HAMBI-2160	259	2774	5.267858159063328	-1.4756685712176143	7.899113638789841	7.271510315926427	1
HN4-d9	HN_C	HN	C	9	0	1	HAMBI-2164	2	137	2.70805020110221	-2.779052472275073	4.898166041766266	5.0647719932595	1
HN4-d9	HN_C	HN	C	9	0	1	HAMBI-2443	3	22	1.791759469228055	-3.5572037226587168	3.10748317602954	1.1535273069641254	1
HN4-d9	HN_C	HN	C	9	0	1	HAMBI-2494	1	9	0.6931471805599453	-3.9189315586763094	2.2762512435162088	1.183464966651474	1
HN4-d9	HN_C	HN	C	9	0	1	HAMBI-2659	2484	4341	5.8377304471659395	-1.281241739557908	8.346794095776447	8.357887564926191	1
HN4-d9	HN_C	HN	C	9	0	1	HAMBI-2792	5	3	1.0986122886681098	-4.316871567348347	1.3643979265818114	-0.5504371090005047	1
HN4-d9	HN_C	HN	C	9	0	1	HAMBI-3031	0	0	0	-4.918931558676309	0	-1.710600217551321	0
HN4-d9	HN_C	HN	C	9	0	1	HAMBI-3237	0	0	0	-4.918931558676309	0	-0.921408344158612	0
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-0006	1267	438	4.653960350157523	-1.7441236136656673	6.77840634693274	6.639362285756489	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-0097	83	13	0.6931471805599453	-3.240460098229551	3.297668024465742	2.8473442572839978	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-0105	286	698	5.087596335232384	-1.5421109581621073	7.243982520116899	7.191324897179693	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-0262	0	0	0	-4.386588133907789	0	-1.3315604565690322	0
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-0403	1705	9345	7.7501841622578365	-0.4159623572194942	9.837698822641654	9.836131529746417	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-1279	7	4	0.6931471805599453	-3.68761812957177	2.198914996439418	2.0826951529985744	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-1287	6096	2231	6.3473892096560105	-1.0378939436422476	8.40547755968404	8.34101190353377	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-1292	918	369	4.624972813284271	-1.8183864098407938	6.6071968710033815	6.650986130842835	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-1299	110	31	2.0794415416798357	-2.8814381555878827	4.145006092460294	3.9347858440583274	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-1842	50	2	0.6931471805599453	-3.9094668791881264	1.6109594181572817	0.3701542630057359	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-1896	21	18	1.6094379124341003	-3.1078345329549597	3.6127680884187123	3.4594668807425184	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-1923	1272	968	5.517452896464707	-1.4002643568570234	7.570796203369266	7.566486839432993	1
HN4-d13	HN_C	HN	C	13	0	1	HAMBI-1972	5188	2728	6.555356891810665	-0.9505845982378922	8.606555639775312	8.576884150924862	1
