sample	strainID	genus	species	count
H2-d9	HAMBI-0006	Pseudomonas	putida	16
H2-d9	HAMBI-0097	Acinetobacter	lwoffii	68
H2-d9	HAMBI-0105	Agrobacterium	tumefaciens	1
H2-d9	HAMBI-0262	Brevundimonas	bullata	0
H2-d9	HAMBI-0403	Comamonas	testosteroni	568
H2-d9	HAMBI-1279	Hafnia	alvei	256
H2-d9	HAMBI-1287	Citrobacter	koseri	2268
H2-d9	HAMBI-1292	Morganella	morganii	7902
H2-d9	HAMBI-1299	Kluyvera	intermedia	329
H2-d9	HAMBI-1842	Sphingobium	yanoikuyae	1
H2-d9	HAMBI-1896	Sphingobacterium	spiritivorum	1
H2-d9	HAMBI-1923	Myroides	odoratus	54
H2-d9	HAMBI-1972	Aeromonas	caviae	26277
H2-d9	HAMBI-1977	Pseudomonas	chlororaphis	14197
H2-d9	HAMBI-1988	Chitinophaga	sancti	1
H2-d9	HAMBI-2159	Paraburkholderia	caryophylli	4
H2-d9	HAMBI-2160	Bordetella	avium	2
H2-d9	HAMBI-2164	Cupriavidus	necator	0
H2-d9	HAMBI-2443	Paracoccus	denitrificans	0
H2-d9	HAMBI-2494	Paraburkholderia	kururiensis	0
H2-d9	HAMBI-2659	Stenotrophomonas	maltophilia	776
H2-d9	HAMBI-2792	Moraxella	canis	0
H2-d9	HAMBI-3031	Niabella	yanshanensis	0
H2-d9	HAMBI-3237	Microvirga	lotononidis	0
H3-d13	HAMBI-0006	Pseudomonas	putida	0
H3-d13	HAMBI-0097	Acinetobacter	lwoffii	7
H3-d13	HAMBI-0105	Agrobacterium	tumefaciens	1
H3-d13	HAMBI-0262	Brevundimonas	bullata	0
H3-d13	HAMBI-0403	Comamonas	testosteroni	22
H3-d13	HAMBI-1279	Hafnia	alvei	16
H3-d13	HAMBI-1287	Citrobacter	koseri	3098
H3-d13	HAMBI-1292	Morganella	morganii	24771
H3-d13	HAMBI-1299	Kluyvera	intermedia	29
H3-d13	HAMBI-1842	Sphingobium	yanoikuyae	0
H3-d13	HAMBI-1896	Sphingobacterium	spiritivorum	0
H3-d13	HAMBI-1923	Myroides	odoratus	0
H3-d13	HAMBI-1972	Aeromonas	caviae	36704
H3-d13	HAMBI-1977	Pseudomonas	chlororaphis	40881
H3-d13	HAMBI-1988	Chitinophaga	sancti	0
H3-d13	HAMBI-2159	Paraburkholderia	caryophylli	1
H3-d13	HAMBI-2160	Bordetella	avium	1
H3-d13	HAMBI-2164	Cupriavidus	necator	0
H3-d13	HAMBI-2443	Paracoccus	denitrificans	0
H3-d13	HAMBI-2494	Paraburkholderia	kururiensis	0
H3-d13	HAMBI-2659	Stenotrophomonas	maltophilia	489
H3-d13	HAMBI-2792	Moraxella	canis	0
H3-d13	HAMBI-3031	Niabella	yanshanensis	0
H3-d13	HAMBI-3237	Microvirga	lotononidis	0
H3-d17	HAMBI-0006	Pseudomonas	putida	3
H3-d17	HAMBI-0097	Acinetobacter	lwoffii	1
H3-d17	HAMBI-0105	Agrobacterium	tumefaciens	0
H3-d17	HAMBI-0262	Brevundimonas	bullata	0
H3-d17	HAMBI-0403	Comamonas	testosteroni	9
H3-d17	HAMBI-1279	Hafnia	alvei	4
H3-d17	HAMBI-1287	Citrobacter	koseri	1718
H3-d17	HAMBI-1292	Morganella	morganii	59696
H3-d17	HAMBI-1299	Kluyvera	intermedia	1
H3-d17	HAMBI-1842	Sphingobium	yanoikuyae	0
H3-d17	HAMBI-1896	Sphingobacterium	spiritivorum	0
H3-d17	HAMBI-1923	Myroides	odoratus	5
H3-d17	HAMBI-1972	Aeromonas	caviae	4250
H3-d17	HAMBI-1977	Pseudomonas	chlororaphis	84079
H3-d17	HAMBI-1988	Chitinophaga	sancti	0
H3-d17	HAMBI-2159	Paraburkholderia	caryophylli	0
H3-d17	HAMBI-2160	Bordetella	avium	0
H3-d17	HAMBI-2164	Cupriavidus	necator	0
H3-d17	HAMBI-2443	Paracoccus	denitrificans	0
H3-d17	HAMBI-2494	Paraburkholderia	kururiensis	0
H3-d17	HAMBI-2659	Stenotrophomonas	maltophilia	381
H3-d17	HAMBI-2792	Moraxella	canis	0
H3-d17	HAMBI-3031	Niabella	yanshanensis	0
H3-d17	HAMBI-3237	Microvirga	lotononidis	0
H3-d21	HAMBI-0006	Pseudomonas	putida	0
H3-d21	HAMBI-0097	Acinetobacter	lwoffii	0
H3-d21	HAMBI-0105	Agrobacterium	tumefaciens	0
H3-d21	HAMBI-0262	Brevundimonas	bullata	0
H3-d21	HAMBI-0403	Comamonas	testosteroni	561
H3-d21	HAMBI-1279	Hafnia	alvei	1
H3-d21	HAMBI-1287	Citrobacter	koseri	462
H3-d21	HAMBI-1292	Morganella	morganii	18036
H3-d21	HAMBI-1299	Kluyvera	intermedia	0
H3-d21	HAMBI-1842	Sphingobium	yanoikuyae	0
H3-d21	HAMBI-1896	Sphingobacterium	spiritivorum	0
H3-d21	HAMBI-1923	Myroides	odoratus	2648
H3-d21	HAMBI-1972	Aeromonas	caviae	21
H3-d21	HAMBI-1977	Pseudomonas	chlororaphis	6518
H3-d21	HAMBI-1988	Chitinophaga	sancti	0
H3-d21	HAMBI-2159	Paraburkholderia	caryophylli	0
H3-d21	HAMBI-2160	Bordetella	avium	0
H3-d21	HAMBI-2164	Cupriavidus	necator	0
H3-d21	HAMBI-2443	Paracoccus	denitrificans	0
H3-d21	HAMBI-2494	Paraburkholderia	kururiensis	0
H3-d21	HAMBI-2659	Stenotrophomonas	maltophilia	15167
